doc_num,positive,other,neutral,negative
0,0.5806239396333694,0.26179972290992737,0.09362246748059982,0.06395387742668385
1,0.36372125148773193,0.31733782092730206,0.22285248339176175,0.09608847523729003
2,0.4399696111679077,0.3110169380903244,0.18938490897417065,0.05962856411933894
3,0.5877243041992187,0.246758896112442,0.12455876320600505,0.040958055108785585
4,0.5187261030077934,0.25924360752105713,0.13848803006112573,0.08354224823415275
5,0.6484390199184418,0.18426115140318866,0.10794916115701192,0.05935068028047676
6,0.6087220430374145,0.21820417642593384,0.10514783598482605,0.06792595619335766
7,0.5176302552223205,0.27144585549831385,0.14148911386728286,0.06943478137254713
8,0.5723425845305125,0.24565899620453513,0.12677895867576197,0.05521945816387108
9,0.6800402939319611,0.1864516511559486,0.09551423341035839,0.03799381777644154
10,0.4204953610897064,0.30570337176322937,0.17310546897351736,0.10069582425057882
11,0.5019878685474396,0.27252091467380524,0.15075219757854935,0.07473905552178618
12,0.493238516151905,0.2490684688091278,0.18551217578351498,0.0721808681264519
13,0.5792867913842201,0.26371686905622477,0.1150970498565584,0.0418992760824039
14,0.6576868057250976,0.18264974206686016,0.10143248513340944,0.058230961486697166
15,0.4660608768463135,0.2866344526410103,0.17718272283673286,0.07012195046991106
16,0.44304197281599045,0.26684755459427834,0.20593889802694315,0.08417158946394915
17,0.5032143414020538,0.3064218670129776,0.11607948187738652,0.07428432013839475
18,0.5137161493301392,0.2342853784561157,0.15000442117452617,0.1019940391182899
19,0.4923530295491218,0.2612309902906418,0.1601260346360504,0.08628995239268986
20,0.5414613982041677,0.24181154308219746,0.15162072827418643,0.06510628325243786
21,0.600736677646637,0.22250393033027646,0.1104323246205846,0.06632708013057705
22,0.5987854972481728,0.20309386588633058,0.1229373617097735,0.07518326118588442
23,0.49024343490600586,0.2567393481731414,0.1635634422302246,0.0894538082182407
24,0.6245757043361664,0.18493851944804188,0.15601606592535971,0.03446972118690606
25,0.5838883221149445,0.20127810910344116,0.1698880486190319,0.04494550926610824
26,0.41854565739631655,0.28150604963302606,0.20742569565773006,0.09252260178327561
27,0.5546503216028214,0.26988478501637775,0.11674251500517124,0.05872235874024526
28,0.5371842980384827,0.23506992459297177,0.1683116644620895,0.05943412445485589
29,0.6796319723129273,0.1739127248525619,0.11334389597177501,0.033111411705613096
30,0.548046350479126,0.23883699625730515,0.15759159872929251,0.055525056940192934
31,0.5744350403547287,0.22351531311869619,0.14092793827876443,0.06112168508116155
32,0.587500661611557,0.23959778547286986,0.13273638710379596,0.04016518034040924
33,0.36757953763008117,0.28847463726997374,0.2189720809459686,0.12497376650571819
34,0.6678082466125488,0.16430474445223803,0.13617836665362118,0.031708633853122545
35,0.5293212831020355,0.2528036888688802,0.1475920528173446,0.07028294028714292
36,0.4197908118367195,0.27464320510625834,0.19552085921168322,0.11004511453211302
37,0.7230863223473231,0.1516238078474998,0.07941007365783052,0.04587979358620938
38,0.4559309681256612,0.28322069346904755,0.16679391264915464,0.09405439471205072
39,0.5478829503059387,0.21939126234501596,0.16286335494369267,0.0698624392971396
40,0.4960229218006134,0.2763075172901153,0.1501128733158111,0.07755669467151158
41,0.40739606618881224,0.2899866342544556,0.21370315849781035,0.08891413509845732
42,0.5194718778133393,0.2710910409688949,0.13654343523085116,0.07289363276213404
43,0.425244964659214,0.3437595292925834,0.15500369109213347,0.0759917879477143
44,0.6605380972226461,0.2060921763380368,0.09864565916359423,0.03472404137331367
45,0.5680017173290253,0.22644633948802947,0.12916687279939648,0.07638507448136803
46,0.6106158147255579,0.2160812560468912,0.11440989375114437,0.05889304191805417
47,0.6411971509456634,0.21925140321254727,0.0975654579699039,0.04198597669601436
