doc_num,word,word_count_female,word_count_male
0,24,0.0,0.0
0,76,0.0,0.0
0,78,0.0,0.0
0,79,1.0,1.0
0,80,0.0,0.0
0,81,0.0,0.0
0,82,0.0,0.0
0,83,0.0,0.0
0,84,0.0,0.0
0,85,0.0,0.0
0,86,0.0,0.0
0,87,0.0,0.0
0,88,0.0,0.0
0,89,0.0,0.0
0,90,0.0,0.0
0,91,0.0,0.0
0,92,0.0,0.0
0,ability,0.0,0.0
0,able,0.0,0.0
0,active,0.0,0.0
0,activity,0.0,1.0
0,adjust,0.0,0.0
0,adult,0.0,0.0
0,advance,0.0,0.0
0,advanced,0.0,0.0
0,affect,0.0,0.0
0,age,0.0,0.0
0,agitate,0.0,0.0
0,agitation,0.0,0.0
0,ago,1.0,1.0
0,alert,0.0,0.0
0,alzheimer,0.0,0.0
0,anxious,0.0,0.0
0,approach,0.0,0.0
0,artery,0.0,0.0
0,arthritis,0.0,0.0
0,assist,0.0,0.0
0,assistance,0.0,1.0
0,attention,0.0,0.0
0,balance,0.0,0.0
0,bathing,0.0,0.0
0,bed,0.0,0.0
0,bind,0.0,0.0
0,blood,0.0,0.0
0,body,0.0,0.0
0,bone,0.0,0.0
0,breast,0.0,0.0
0,breathe,0.0,0.0
0,breathing,0.0,0.0
0,cancer,0.0,0.0
0,care,1.0,1.0
0,careful,0.0,0.0
0,cause,0.0,0.0
0,center,0.0,0.0
0,challenge,0.0,0.0
0,chemotherapy,0.0,0.0
0,chronic,1.0,1.0
0,clock,0.0,0.0
0,close,0.0,0.0
0,closely,0.0,0.0
0,cognitive,0.0,0.0
0,combination,0.0,0.0
0,combine,0.0,0.0
0,communicate,0.0,0.0
0,communication,0.0,0.0
0,community,0.0,0.0
0,complex,0.0,0.0
0,comprehensive,1.0,0.0
0,concern,0.0,0.0
0,condition,1.0,1.0
0,confused,0.0,0.0
0,confusion,0.0,0.0
0,congestive,0.0,0.0
0,continuous,0.0,0.0
0,coordination,0.0,0.0
0,copd,0.0,0.0
0,cord,0.0,0.0
0,daily,0.0,1.0
0,day,0.0,0.0
0,decline,0.0,0.0
0,degeneration,0.0,0.0
0,dementia,0.0,0.0
0,depression,0.0,0.0
0,despite,0.0,0.0
0,detail,0.0,0.0
0,di,0.0,0.0
0,diabetes,0.0,0.0
0,diagnose,1.0,1.0
0,diagnosis,0.0,0.0
0,diet,0.0,0.0
0,difficult,0.0,0.0
0,disability,0.0,0.0
0,disease,1.0,1.0
0,disoriented,0.0,0.0
0,domiciliary,0.0,0.0
0,dress,0.0,0.0
0,dressing,0.0,0.0
0,early,0.0,0.0
0,emotional,0.0,0.0
0,engage,0.0,0.0
0,enjoy,0.0,0.0
0,environment,0.0,0.0
0,event,0.0,0.0
0,exert,0.0,0.0
0,exertion,0.0,0.0
0,experience,0.0,0.0
0,face,0.0,0.0
0,facility,0.0,0.0
0,failure,1.0,1.0
0,fall,0.0,0.0
0,familiar,0.0,0.0
0,family,0.0,0.0
0,fatigue,0.0,0.0
0,feature,0.0,0.0
0,feed,0.0,0.0
0,feeding,0.0,0.0
0,feel,0.0,0.0
0,flow,0.0,0.0
0,fluctuate,0.0,0.0
0,fluid,0.0,0.0
0,follow,0.0,0.0
0,fracture,0.0,0.0
0,friendly,0.0,0.0
0,frontotemporal,0.0,0.0
0,full,0.0,0.0
0,function,0.0,0.0
0,functioning,0.0,0.0
0,get,0.0,0.0
0,gradual,0.0,0.0
0,groom,0.0,0.0
0,hallucination,0.0,0.0
0,hand,0.0,0.0
0,health,1.0,1.0
0,heart,1.0,1.0
0,high,0.0,0.0
0,history,0.0,0.0
0,home,1.0,0.0
0,hour,0.0,0.0
0,huntington,0.0,0.0
0,hygiene,0.0,0.0
0,hypertension,0.0,0.0
0,impact,1.0,1.0
0,impairment,0.0,0.0
0,include,0.0,1.0
