doc_num,word,word_count_male,word_count_female
0,24,0.0,0.0
0,75,0.0,0.0
0,76,0.0,0.0
0,78,0.0,0.0
0,79,0.0,0.0
0,80,0.0,0.0
0,81,0.0,0.0
0,82,0.0,0.0
0,83,0.0,0.0
0,84,0.0,0.0
0,85,0.0,0.0
0,86,0.0,0.0
0,87,0.0,0.0
0,88,0.0,0.0
0,89,0.0,0.0
0,90,0.0,0.0
0,91,0.0,0.0
0,92,0.0,0.0
0,93,0.0,0.0
0,94,0.0,0.0
0,ability,0.0,0.0
0,active,0.0,0.0
0,actively,0.0,0.0
0,activity,0.0,0.0
0,additional,0.0,0.0
0,address,0.0,0.0
0,adhere,0.0,0.0
0,adjust,0.0,0.0
0,adjustment,0.0,0.0
0,advance,0.0,0.0
0,advanced,1.0,1.0
0,affect,0.0,0.0
0,age,0.0,0.0
0,agitate,0.0,0.0
0,agitation,0.0,0.0
0,aid,0.0,0.0
0,airway,0.0,0.0
0,alert,0.0,0.0
0,alzheimer,1.0,1.0
0,approach,0.0,0.0
0,artery,0.0,0.0
0,arthritis,0.0,0.0
0,articulate,1.0,1.0
0,aspect,0.0,0.0
0,assessment,0.0,0.0
0,assist,0.0,0.0
0,assistance,1.0,0.0
0,assisted,0.0,0.0
0,atrial,0.0,0.0
0,attention,0.0,0.0
0,attitude,0.0,0.0
0,balance,0.0,0.0
0,bathing,0.0,0.0
0,bathroom,0.0,0.0
0,behavior,0.0,0.0
0,bind,0.0,0.0
0,blood,0.0,0.0
0,body,0.0,0.0
0,book,0.0,0.0
0,brady,0.0,0.0
0,breathe,0.0,0.0
0,breathing,0.0,0.0
0,bronchitis,0.0,0.0
0,cancer,0.0,0.0
0,care,1.0,2.0
0,careful,0.0,0.0
0,carer,0.0,0.0
0,case,0.0,0.0
0,cause,0.0,0.0
0,center,0.0,0.0
0,certain,0.0,0.0
0,challenge,0.0,1.0
0,change,0.0,0.0
0,chess,0.0,0.0
0,chronic,0.0,0.0
0,ckd,0.0,0.0
0,classical,0.0,0.0
0,close,0.0,0.0
0,closely,0.0,0.0
0,club,0.0,0.0
0,cognitive,0.0,0.0
0,cognitively,0.0,0.0
0,collaboratively,0.0,0.0
0,combination,0.0,0.0
0,combine,0.0,0.0
0,comfort,0.0,0.0
0,comfortable,0.0,0.0
0,commit,0.0,0.0
0,communication,0.0,0.0
0,community,0.0,0.0
0,compassionate,0.0,0.0
0,complex,0.0,0.0
0,complication,0.0,0.0
0,comprehensive,0.0,0.0
0,concentrator,0.0,0.0
0,concern,0.0,0.0
0,condition,1.0,0.0
0,confusion,0.0,0.0
0,congestive,0.0,0.0
0,consist,0.0,0.0
0,constant,0.0,0.0
0,continuous,0.0,0.0
0,continuously,0.0,0.0
0,control,0.0,0.0
0,coordination,0.0,0.0
0,copd,1.0,1.0
0,counseling,0.0,0.0
0,cover,0.0,0.0
0,creatinine,0.0,0.0
0,current,0.0,1.0
0,daily,0.0,0.0
0,day,0.0,0.0
0,decline,0.0,0.0
0,degeneration,0.0,0.0
0,dementia,0.0,0.0
0,dependence,0.0,0.0
0,depression,0.0,0.0
0,describe,0.0,1.0
0,design,0.0,0.0
0,despite,1.0,1.0
0,detail,0.0,0.0
0,deteriorate,0.0,0.0
0,diabetes,0.0,0.0
0,diabetic,0.0,0.0
0,diagnose,0.0,0.0
0,diagnosis,0.0,0.0
0,dialysis,0.0,0.0
0,diet,0.0,0.0
0,dietary,0.0,0.0
0,dieti,0.0,0.0
0,dietitian,0.0,0.0
0,difficult,0.0,0.0
0,dignity,0.0,0.0
