doc_num,pred,NEGATIVE,POSITIVE
0,1.0,0.0023809199125,0.9976190975
1,0.625,0.37217740165,0.6278225898375001
2,0.875,0.1254671019375,0.874532905875
3,0.7142857142857143,0.2848487674142857,0.7151512469
4,0.8571428571428571,0.14498947262857143,0.8550105481428572
5,0.625,0.37289657385,0.62710342895
6,1.0,0.004175027266666667,0.9958249600000001
7,0.7142857142857143,0.2854838947857143,0.7145161101428572
8,0.75,0.250556493675,0.7494435152125001
9,0.75,0.2513710611375,0.74862892898
10,1.0,0.0033966047800000005,0.996603406
11,0.7142857142857143,0.28485626445714285,0.7151437428571429
12,0.8571428571428571,0.1449980030285714,0.8550019855714286
13,1.0,0.00208575725,0.9979142416666668
14,0.8333333333333334,0.16629813515,0.8337018828333332
15,0.8571428571428571,0.17395141464285716,0.826048603
16,0.8571428571428571,0.15135362844285716,0.8486463845857143
17,0.8571428571428571,0.14256269482857145,0.8574372975714286
18,0.75,0.25092380056249997,0.74907618875
19,0.75,0.24932244546250001,0.75067756225
20,0.875,0.126678909675,0.8733210765
21,1.0,0.0087966119625,0.991203375
22,0.8571428571428571,0.14385317,0.8561468498714285
23,0.5714285714285714,0.4280085174142857,0.5719914658857144
24,0.8333333333333334,0.17040404616666668,0.8295959383333332
25,0.8571428571428571,0.14726001781428572,0.8527399784857143
26,0.7777777777777778,0.22241538168888889,0.7775845968222223
27,0.8571428571428571,0.14299591562857142,0.8570040958571429
28,0.6666666666666666,0.30156732255,0.6984326533333333
29,0.75,0.2600891658625,0.739910838
30,1.0,0.00143693485,0.9985630683333334
31,1.0,0.0023455966285714286,0.9976544228571429
32,0.7142857142857143,0.28715798677142856,0.7128420343857143
33,0.8333333333333334,0.16869133506666667,0.8313086868833333
34,0.7142857142857143,0.2844208876142857,0.7155791150428571
35,1.0,0.0014937814,0.9985062066666667
36,1.0,0.004137499433333333,0.9958625
37,1.0,0.0016796319428571428,0.9983203842857142
38,0.7142857142857143,0.2811110673142857,0.718888930242857
39,1.0,0.0012703059666666666,0.9987297083333333
40,0.7142857142857143,0.2848852278142857,0.7151147772857142
41,0.6,0.39746576864,0.6025342448
42,1.0,0.004116130528571429,0.9958838771428571
43,0.75,0.25107532955,0.7489246761625
44,0.625,0.372945201725,0.62705480325
45,0.875,0.1256516241,0.874348385
46,0.8571428571428571,0.14040008369999998,0.8595999271428572
47,0.8571428571428571,0.14369702594285716,0.8563029769285714
48,0.7142857142857143,0.3568471858142857,0.6431528167857143
49,0.7142857142857143,0.28263783477142856,0.7173621698571429
50,0.75,0.2499002401625,0.750099765075
51,0.8333333333333334,0.15723419151666668,0.84276581
52,1.0,0.0021537173714285714,0.9978462685714286
53,0.8571428571428571,0.1431325557857143,0.856867449
54,1.0,0.0024719803833333333,0.9975280383333334
55,0.75,0.2501765700125,0.7498234290875
56,0.8571428571428571,0.1426308935,0.857369103
57,1.0,0.00308195276,0.996918028
58,1.0,0.0020145659142857143,0.9979854257142857
59,0.8571428571428571,0.14282293644285712,0.8571770444857142
60,0.8571428571428571,0.14342458312857143,0.8565754155714286
